University,Year,Ranking
Massachusetts Institute of Technology,2017,1
Massachusetts Institute of Technology,2018,1
Massachusetts Institute of Technology,2019,1
Massachusetts Institute of Technology,2020,1
Massachusetts Institute of Technology,2021,1
Massachusetts Institute of Technology,2022,1
Massachusetts Institute of Technology,2023,1
Massachusetts Institute of Technology,2024,1
University of Cambridge,2017,4
University of Cambridge,2018,5
University of Cambridge,2019,6
University of Cambridge,2020,7
University of Cambridge,2021,7
University of Cambridge,2022,3
University of Cambridge,2023,2
University of Cambridge,2024,2
University of Oxford,2017,6
University of Oxford,2018,6
University of Oxford,2019,5
University of Oxford,2020,4
University of Oxford,2021,5
University of Oxford,2022,2
University of Oxford,2023,4
University of Oxford,2024,3
Harvard University,2017,3
Harvard University,2018,3
Harvard University,2019,3
Harvard University,2020,3
Harvard University,2021,3
Harvard University,2022,5
Harvard University,2023,5
Harvard University,2024,4
Stanford University,2017,2
Stanford University,2018,2
Stanford University,2019,2
Stanford University,2020,2
Stanford University,2021,2
Stanford University,2022,3
Stanford University,2023,3
Stanford University,2024,5
Imperial College London,2017,9
Imperial College London,2018,8
Imperial College London,2019,8
Imperial College London,2020,9
Imperial College London,2021,8
Imperial College London,2022,7
Imperial College London,2023,6
Imperial College London,2024,6
ETH Zurich - Swiss Federal Institute of Technology,2017,8
ETH Zurich - Swiss Federal Institute of Technology,2018,10
ETH Zurich - Swiss Federal Institute of Technology,2019,7
ETH Zurich - Swiss Federal Institute of Technology,2020,6
ETH Zurich - Swiss Federal Institute of Technology,2021,6
ETH Zurich - Swiss Federal Institute of Technology,2022,8
ETH Zurich - Swiss Federal Institute of Technology,2023,9
ETH Zurich - Swiss Federal Institute of Technology,2024,7
National University of Singapore,2017,12
National University of Singapore,2018,15
National University of Singapore,2019,11
National University of Singapore,2020,11
National University of Singapore,2021,11
National University of Singapore,2022,11
National University of Singapore,2023,11
National University of Singapore,2024,8
UCL,2017,7
UCL,2018,7
UCL,2019,10
UCL,2020,8
UCL,2021,10
UCL,2022,8
UCL,2023,8
UCL,2024,9
"University of California, Berkeley",2017,28
"University of California, Berkeley",2018,27
"University of California, Berkeley",2019,27
"University of California, Berkeley",2020,28
"University of California, Berkeley",2021,30
"University of California, Berkeley",2022,32
"University of California, Berkeley",2023,27
"University of California, Berkeley",2024,10
University of Chicago,2017,10
University of Chicago,2018,9
University of Chicago,2019,9
University of Chicago,2020,10
University of Chicago,2021,9
University of Chicago,2022,10
University of Chicago,2023,10
University of Chicago,2024,11
University of Pennsylvania,2017,18
University of Pennsylvania,2018,19
University of Pennsylvania,2019,19
University of Pennsylvania,2020,15
University of Pennsylvania,2021,16
University of Pennsylvania,2022,13
University of Pennsylvania,2023,13
University of Pennsylvania,2024,12
Cornell University,2017,16
Cornell University,2018,14
Cornell University,2019,14
Cornell University,2020,14
Cornell University,2021,18
Cornell University,2022,21
Cornell University,2023,20
Cornell University,2024,13
University of Melbourne,2017,42
University of Melbourne,2018,41
University of Melbourne,2019,39
University of Melbourne,2020,38
University of Melbourne,2021,41
University of Melbourne,2022,37
University of Melbourne,2023,33
University of Melbourne,2024,14
California Institute of Technology,2017,5
California Institute of Technology,2018,4
California Institute of Technology,2019,4
California Institute of Technology,2020,5
California Institute of Technology,2021,4
California Institute of Technology,2022,6
California Institute of Technology,2023,6
California Institute of Technology,2024,15
Yale University,2017,15
Yale University,2018,16
Yale University,2019,15
Yale University,2020,17
Yale University,2021,17
Yale University,2022,14
Yale University,2023,18
Yale University,2024,16
Peking University,2017,39
Peking University,2018,38
Peking University,2019,30
Peking University,2020,22
Peking University,2021,23
Peking University,2022,18
Peking University,2023,12
Peking University,2024,17
Princeton University,2017,11
Princeton University,2018,13
Princeton University,2019,13
Princeton University,2020,13
Princeton University,2021,12
Princeton University,2022,20
Princeton University,2023,16
Princeton University,2024,17
University of New South Wales,2017,49
University of New South Wales,2018,45
University of New South Wales,2019,45
University of New South Wales,2020,43
University of New South Wales,2021,44
University of New South Wales,2022,43
University of New South Wales,2023,45
University of New South Wales,2024,19
University of Sydney,2017,46
University of Sydney,2018,50
University of Sydney,2019,42
University of Sydney,2020,42
University of Sydney,2021,40
University of Sydney,2022,38
University of Sydney,2023,41
University of Sydney,2024,19
University of Toronto,2017,32
University of Toronto,2018,31
University of Toronto,2019,28
University of Toronto,2020,29
University of Toronto,2021,25
University of Toronto,2022,26
University of Toronto,2023,34
University of Toronto,2024,21
University of Edinburgh,2017,19
University of Edinburgh,2018,23
University of Edinburgh,2019,18
University of Edinburgh,2020,20
University of Edinburgh,2021,20
University of Edinburgh,2022,16
University of Edinburgh,2023,15
University of Edinburgh,2024,22
Columbia University,2017,20
Columbia University,2018,18
Columbia University,2019,16
Columbia University,2020,18
Columbia University,2021,19
Columbia University,2022,19
Columbia University,2023,22
Columbia University,2024,23
Université PSL,2019,50
Université PSL,2020,53
Université PSL,2021,52
Université PSL,2022,44
Université PSL,2023,26
Université PSL,2024,24
Tsinghua University,2017,24
Tsinghua University,2018,25
Tsinghua University,2019,17
Tsinghua University,2020,16
Tsinghua University,2021,15
Tsinghua University,2022,17
Tsinghua University,2023,14
Tsinghua University,2024,25
"Nanyang Technological University, Singapore",2017,13
"Nanyang Technological University, Singapore",2018,11
"Nanyang Technological University, Singapore",2019,12
"Nanyang Technological University, Singapore",2020,11
"Nanyang Technological University, Singapore",2021,13
"Nanyang Technological University, Singapore",2022,12
"Nanyang Technological University, Singapore",2023,19
"Nanyang Technological University, Singapore",2024,26
University of Hong Kong,2017,27
University of Hong Kong,2018,26
University of Hong Kong,2019,25
University of Hong Kong,2020,25
University of Hong Kong,2021,22
University of Hong Kong,2022,22
University of Hong Kong,2023,21
University of Hong Kong,2024,26
Johns Hopkins University,2017,17
Johns Hopkins University,2018,17
Johns Hopkins University,2019,21
Johns Hopkins University,2020,24
Johns Hopkins University,2021,25
Johns Hopkins University,2022,25
Johns Hopkins University,2023,24
Johns Hopkins University,2024,28
University of Tokyo,2017,34
University of Tokyo,2018,28
University of Tokyo,2019,23
University of Tokyo,2020,22
University of Tokyo,2021,24
University of Tokyo,2022,23
University of Tokyo,2023,23
University of Tokyo,2024,28
"University of California, Los Angeles",2017,31
"University of California, Los Angeles",2018,33
"University of California, Los Angeles",2019,32
"University of California, Los Angeles",2020,35
"University of California, Los Angeles",2021,36
"University of California, Los Angeles",2022,40
"University of California, Los Angeles",2023,44
"University of California, Los Angeles",2024,29
McGill University,2017,30
McGill University,2018,32
McGill University,2019,33
McGill University,2020,35
McGill University,2021,31
McGill University,2022,27
McGill University,2023,31
McGill University,2024,30
University of Manchester,2017,29
University of Manchester,2018,34
University of Manchester,2019,29
University of Manchester,2020,27
University of Manchester,2021,27
University of Manchester,2022,27
University of Manchester,2023,28
University of Manchester,2024,32
University of Michigan-Ann Arbor,2017,23
University of Michigan-Ann Arbor,2018,21
University of Michigan-Ann Arbor,2019,20
University of Michigan-Ann Arbor,2020,21
University of Michigan-Ann Arbor,2021,21
University of Michigan-Ann Arbor,2022,23
University of Michigan-Ann Arbor,2023,25
University of Michigan-Ann Arbor,2024,33
Australian National University,2017,22
Australian National University,2018,20
Australian National University,2019,24
Australian National University,2020,29
Australian National University,2021,31
Australian National University,2022,27
Australian National University,2023,30
Australian National University,2024,34
University of British Columbia,2017,45
University of British Columbia,2018,51
University of British Columbia,2019,47
University of British Columbia,2020,51
University of British Columbia,2021,45
University of British Columbia,2022,46
University of British Columbia,2023,47
University of British Columbia,2024,34
EPFL,2017,14
EPFL,2018,12
EPFL,2019,22
EPFL,2020,18
EPFL,2021,14
EPFL,2022,14
EPFL,2023,16
EPFL,2024,36
Technical University of Munich,2017,60
Technical University of Munich,2018,64
Technical University of Munich,2019,61
Technical University of Munich,2020,55
Technical University of Munich,2021,50
Technical University of Munich,2022,50
Technical University of Munich,2023,49
Technical University of Munich,2024,37
Institut Polytechnique de Paris,2022,49
Institut Polytechnique de Paris,2023,48
Institut Polytechnique de Paris,2024,38
New York University,2017,46
New York University,2018,52
New York University,2019,43
New York University,2020,39
New York University,2021,35
New York University,2022,42
New York University,2023,39
New York University,2024,38
King's College London,2017,21
King's College London,2018,23
King's College London,2019,31
King's College London,2020,33
King's College London,2021,31
King's College London,2022,35
King's College London,2023,37
King's College London,2024,40
Seoul National University,2017,35
Seoul National University,2018,36
Seoul National University,2019,36
Seoul National University,2020,37
Seoul National University,2021,37
Seoul National University,2022,36
Seoul National University,2023,29
Seoul National University,2024,41
Monash University,2017,65
Monash University,2018,60
Monash University,2019,59
Monash University,2020,58
Monash University,2021,55
Monash University,2022,58
Monash University,2023,57
Monash University,2024,42
University of Queensland,2017,51
University of Queensland,2018,47
University of Queensland,2019,48
University of Queensland,2020,47
University of Queensland,2021,46
University of Queensland,2022,47
University of Queensland,2023,50
University of Queensland,2024,43
Zhejiang University,2017,110
Zhejiang University,2018,87
Zhejiang University,2019,68
Zhejiang University,2020,54
Zhejiang University,2021,53
Zhejiang University,2022,45
Zhejiang University,2023,42
Zhejiang University,2024,44
London School of Economics and Political Science,2017,37
London School of Economics and Political Science,2018,35
London School of Economics and Political Science,2019,38
London School of Economics and Political Science,2020,44
London School of Economics and Political Science,2021,49
London School of Economics and Political Science,2022,49
London School of Economics and Political Science,2023,56
London School of Economics and Political Science,2024,45
Kyoto University,2017,37
Kyoto University,2018,36
Kyoto University,2019,35
Kyoto University,2020,33
Kyoto University,2021,38
Kyoto University,2022,33
Kyoto University,2023,36
Kyoto University,2024,46
Delft University of Technology,2017,62
Delft University of Technology,2018,54
Delft University of Technology,2019,52
Delft University of Technology,2020,50
Delft University of Technology,2021,57
Delft University of Technology,2022,57
Delft University of Technology,2023,61
Delft University of Technology,2024,47
Northwestern University,2017,26
Northwestern University,2018,28
Northwestern University,2019,34
Northwestern University,2020,31
Northwestern University,2021,29
Northwestern University,2022,30
Northwestern University,2023,32
Northwestern University,2024,47
Chinese University of Hong Kong,2017,44
Chinese University of Hong Kong,2018,46
Chinese University of Hong Kong,2019,49
Chinese University of Hong Kong,2020,46
Chinese University of Hong Kong,2021,43
Chinese University of Hong Kong,2022,39
Chinese University of Hong Kong,2023,38
Chinese University of Hong Kong,2024,47
Fudan University,2017,43
Fudan University,2018,40
Fudan University,2019,44
Fudan University,2020,40
Fudan University,2021,34
Fudan University,2022,31
Fudan University,2023,34
Fudan University,2024,50
Shanghai Jiao Tong University,2017,61
Shanghai Jiao Tong University,2018,62
Shanghai Jiao Tong University,2019,59
Shanghai Jiao Tong University,2020,60
Shanghai Jiao Tong University,2021,47
Shanghai Jiao Tong University,2022,50
Shanghai Jiao Tong University,2023,46
Shanghai Jiao Tong University,2024,51
Carnegie Mellon University,2017,58
Carnegie Mellon University,2018,47
Carnegie Mellon University,2019,46
Carnegie Mellon University,2020,48
Carnegie Mellon University,2021,51
Carnegie Mellon University,2022,53
Carnegie Mellon University,2023,52
Carnegie Mellon University,2024,52
University of Amsterdam,2017,57
University of Amsterdam,2018,58
University of Amsterdam,2019,57
University of Amsterdam,2020,64
University of Amsterdam,2021,61
University of Amsterdam,2022,55
University of Amsterdam,2023,58
University of Amsterdam,2024,53
Ludwig-Maximilians-Universität München,2017,68
Ludwig-Maximilians-Universität München,2018,66
Ludwig-Maximilians-Universität München,2019,62
Ludwig-Maximilians-Universität München,2020,63
Ludwig-Maximilians-Universität München,2021,63
Ludwig-Maximilians-Universität München,2022,64
Ludwig-Maximilians-Universität München,2023,59
Ludwig-Maximilians-Universität München,2024,54
University of Bristol,2017,41
University of Bristol,2018,44
University of Bristol,2019,51
University of Bristol,2020,49
University of Bristol,2021,58
University of Bristol,2022,62
University of Bristol,2023,61
University of Bristol,2024,55
KAIST - Korea Advanced Institute of Science & Technology,2017,46
KAIST - Korea Advanced Institute of Science & Technology,2018,41
KAIST - Korea Advanced Institute of Science & Technology,2019,40
KAIST - Korea Advanced Institute of Science & Technology,2020,41
KAIST - Korea Advanced Institute of Science & Technology,2021,39
KAIST - Korea Advanced Institute of Science & Technology,2022,41
KAIST - Korea Advanced Institute of Science & Technology,2023,42
KAIST - Korea Advanced Institute of Science & Technology,2024,56
Duke University,2017,24
Duke University,2018,21
Duke University,2019,26
Duke University,2020,25
Duke University,2021,42
Duke University,2022,52
Duke University,2023,50
Duke University,2024,57
University of Texas at Austin,2017,67
University of Texas at Austin,2018,67
University of Texas at Austin,2019,63
University of Texas at Austin,2020,65
University of Texas at Austin,2021,71
University of Texas at Austin,2022,67
University of Texas at Austin,2023,72
University of Texas at Austin,2024,58
Sorbonne University,2019,75
Sorbonne University,2020,77
Sorbonne University,2021,83
Sorbonne University,2022,72
Sorbonne University,2023,60
Sorbonne University,2024,59
Hong Kong University of Science and Technology,2017,36
Hong Kong University of Science and Technology,2018,30
Hong Kong University of Science and Technology,2019,37
Hong Kong University of Science and Technology,2020,32
Hong Kong University of Science and Technology,2021,27
Hong Kong University of Science and Technology,2022,34
Hong Kong University of Science and Technology,2023,40
Hong Kong University of Science and Technology,2024,60
KU Leuven,2017,79
KU Leuven,2018,71
KU Leuven,2019,81
KU Leuven,2020,80
KU Leuven,2021,84
KU Leuven,2022,70
KU Leuven,2023,76
KU Leuven,2024,61
"University of California, San Diego",2017,40
"University of California, San Diego",2018,38
"University of California, San Diego",2019,41
"University of California, San Diego",2020,45
"University of California, San Diego",2021,54
"University of California, San Diego",2022,48
"University of California, San Diego",2023,53
"University of California, San Diego",2024,62
University of Washington,2017,59
University of Washington,2018,61
University of Washington,2019,66
University of Washington,2020,68
University of Washington,2021,72
University of Washington,2022,85
University of Washington,2023,80
University of Washington,2024,63
University of Illinois at Urbana-Champaign,2017,66
University of Illinois at Urbana-Champaign,2018,69
University of Illinois at Urbana-Champaign,2019,71
University of Illinois at Urbana-Champaign,2020,75
University of Illinois at Urbana-Champaign,2021,82
University of Illinois at Urbana-Champaign,2022,82
University of Illinois at Urbana-Champaign,2023,85
University of Illinois at Urbana-Champaign,2024,64
Hong Kong Polytechnic University,2017,111
Hong Kong Polytechnic University,2018,95
Hong Kong Polytechnic University,2019,106
Hong Kong Polytechnic University,2020,91
Hong Kong Polytechnic University,2021,75
Hong Kong Polytechnic University,2022,66
Hong Kong Polytechnic University,2023,65
Hong Kong Polytechnic University,2024,65
Universiti Malaya,2017,133
Universiti Malaya,2018,114
Universiti Malaya,2019,87
Universiti Malaya,2020,70
Universiti Malaya,2021,59
Universiti Malaya,2022,65
Universiti Malaya,2023,70
Universiti Malaya,2024,65
University of Warwick,2017,51
University of Warwick,2018,57
University of Warwick,2019,54
University of Warwick,2020,62
University of Warwick,2021,62
University of Warwick,2022,61
University of Warwick,2023,64
University of Warwick,2024,67
University of Auckland,2017,81
University of Auckland,2018,82
University of Auckland,2019,85
University of Auckland,2020,83
University of Auckland,2021,81
University of Auckland,2022,85
University of Auckland,2023,87
University of Auckland,2024,68
National Taiwan University,2017,68
National Taiwan University,2018,76
National Taiwan University,2019,72
National Taiwan University,2020,69
National Taiwan University,2021,66
National Taiwan University,2022,68
National Taiwan University,2023,77
National Taiwan University,2024,69
City University of Hong Kong,2017,55
City University of Hong Kong,2018,49
City University of Hong Kong,2019,55
City University of Hong Kong,2020,52
City University of Hong Kong,2021,48
City University of Hong Kong,2022,53
City University of Hong Kong,2023,54
City University of Hong Kong,2024,70
Université Paris-Saclay,2017,241
Université Paris-Saclay,2018,242
Université Paris-Saclay,2019,239
Université Paris-Saclay,2020,262
Université Paris-Saclay,2021,305
Université Paris-Saclay,2022,86
Université Paris-Saclay,2023,69
Université Paris-Saclay,2024,71
University of Western Australia,2017,102
University of Western Australia,2018,93
University of Western Australia,2019,91
University of Western Australia,2020,86
University of Western Australia,2021,92
University of Western Australia,2022,93
University of Western Australia,2023,90
University of Western Australia,2024,72
Brown University,2017,49
Brown University,2018,53
Brown University,2019,56
Brown University,2020,57
Brown University,2021,60
Brown University,2022,60
Brown University,2023,63
Brown University,2024,73
KTH Royal Institute of Technology ,2017,97
KTH Royal Institute of Technology ,2018,98
KTH Royal Institute of Technology ,2019,104
KTH Royal Institute of Technology ,2020,98
KTH Royal Institute of Technology ,2021,98
KTH Royal Institute of Technology ,2022,89
KTH Royal Institute of Technology ,2023,89
KTH Royal Institute of Technology ,2024,73
University of Leeds,2017,93
University of Leeds,2018,101
University of Leeds,2019,93
University of Leeds,2020,93
University of Leeds,2021,91
University of Leeds,2022,92
University of Leeds,2023,86
University of Leeds,2024,75
University of Glasgow,2017,63
University of Glasgow,2018,65
University of Glasgow,2019,69
University of Glasgow,2020,67
University of Glasgow,2021,77
University of Glasgow,2022,73
University of Glasgow,2023,81
University of Glasgow,2024,76
Yonsei University,2017,112
Yonsei University,2018,106
Yonsei University,2019,107
Yonsei University,2020,104
Yonsei University,2021,85
Yonsei University,2022,79
Yonsei University,2023,73
Yonsei University,2024,76
Durham University,2017,74
Durham University,2018,78
Durham University,2019,74
Durham University,2020,78
Durham University,2021,86
Durham University,2022,82
Durham University,2023,92
Durham University,2024,78
Korea University,2017,98
Korea University,2018,90
Korea University,2019,86
Korea University,2020,83
Korea University,2021,69
Korea University,2022,74
Korea University,2023,74
Korea University,2024,79
Osaka University,2017,63
Osaka University,2018,63
Osaka University,2019,67
Osaka University,2020,71
Osaka University,2021,72
Osaka University,2022,75
Osaka University,2023,68
Osaka University,2024,80
"Trinity College Dublin, The University of Dublin",2017,98
"Trinity College Dublin, The University of Dublin",2018,88
"Trinity College Dublin, The University of Dublin",2019,104
"Trinity College Dublin, The University of Dublin",2020,108
"Trinity College Dublin, The University of Dublin",2021,101
"Trinity College Dublin, The University of Dublin",2022,101
"Trinity College Dublin, The University of Dublin",2023,98
"Trinity College Dublin, The University of Dublin",2024,81
University of Southampton,2017,87
University of Southampton,2018,102
University of Southampton,2019,96
University of Southampton,2020,97
University of Southampton,2021,90
University of Southampton,2022,77
University of Southampton,2023,78
University of Southampton,2024,81
Pennsylvania State University,2017,95
Pennsylvania State University,2018,93
Pennsylvania State University,2019,95
Pennsylvania State University,2020,93
Pennsylvania State University,2021,101
Pennsylvania State University,2022,96
Pennsylvania State University,2023,93
Pennsylvania State University,2024,83
University of Birmingham,2017,82
University of Birmingham,2018,84
University of Birmingham,2019,79
University of Birmingham,2020,81
University of Birmingham,2021,87
University of Birmingham,2022,90
University of Birmingham,2023,91
University of Birmingham,2024,84
Lund University,2017,73
Lund University,2018,78
Lund University,2019,92
Lund University,2020,92
Lund University,2021,97
Lund University,2022,87
Lund University,2023,95
Lund University,2024,85
Universidade de São Paulo,2017,120
Universidade de São Paulo,2018,121
Universidade de São Paulo,2019,118
Universidade de São Paulo,2020,116
Universidade de São Paulo,2021,115
Universidade de São Paulo,2022,121
Universidade de São Paulo,2023,115
Universidade de São Paulo,2024,85
Lomonosov Moscow State University,2017,108
Lomonosov Moscow State University,2018,95
Lomonosov Moscow State University,2019,90
Lomonosov Moscow State University,2020,84
Lomonosov Moscow State University,2021,74
Lomonosov Moscow State University,2022,78
Lomonosov Moscow State University,2023,75
Lomonosov Moscow State University,2024,87
Ruprecht-Karls-Universität Heidelberg,2017,72
Ruprecht-Karls-Universität Heidelberg,2018,68
Ruprecht-Karls-Universität Heidelberg,2019,64
Ruprecht-Karls-Universität Heidelberg,2020,66
Ruprecht-Karls-Universität Heidelberg,2021,64
Ruprecht-Karls-Universität Heidelberg,2022,63
Ruprecht-Karls-Universität Heidelberg,2023,65
Ruprecht-Karls-Universität Heidelberg,2024,87
University of Adelaide,2017,125
University of Adelaide,2018,109
University of Adelaide,2019,114
University of Adelaide,2020,106
University of Adelaide,2021,106
University of Adelaide,2022,108
University of Adelaide,2023,109
University of Adelaide,2024,89
University of Technology Sydney,2017,193
University of Technology Sydney,2018,176
University of Technology Sydney,2019,160
University of Technology Sydney,2020,140
University of Technology Sydney,2021,133
University of Technology Sydney,2022,133
University of Technology Sydney,2023,137
University of Technology Sydney,2024,90
Tokyo Institute of Technology,2017,56
Tokyo Institute of Technology,2018,56
Tokyo Institute of Technology,2019,58
Tokyo Institute of Technology,2020,58
Tokyo Institute of Technology,2021,56
Tokyo Institute of Technology,2022,56
Tokyo Institute of Technology,2023,55
Tokyo Institute of Technology,2024,91
University of Zurich,2017,80
University of Zurich,2018,73
University of Zurich,2019,78
University of Zurich,2020,76
University of Zurich,2021,69
University of Zurich,2022,70
University of Zurich,2023,83
University of Zurich,2024,91
Boston University,2017,89
Boston University,2018,81
Boston University,2019,93
Boston University,2020,98
Boston University,2021,110
Boston University,2022,112
Boston University,2023,108
Boston University,2024,93
Universidad Nacional Autónoma de México,2017,128
Universidad Nacional Autónoma de México,2018,122
Universidad Nacional Autónoma de México,2019,113
Universidad Nacional Autónoma de México,2020,103
Universidad Nacional Autónoma de México,2021,100
Universidad Nacional Autónoma de México,2022,105
Universidad Nacional Autónoma de México,2023,104
Universidad Nacional Autónoma de México,2024,93
Universidad de Buenos Aires,2017,85
Universidad de Buenos Aires,2018,75
Universidad de Buenos Aires,2019,73
Universidad de Buenos Aires,2020,74
Universidad de Buenos Aires,2021,66
Universidad de Buenos Aires,2022,69
Universidad de Buenos Aires,2023,67
Universidad de Buenos Aires,2024,95
University of St Andrews,2017,77
University of St Andrews,2018,92
University of St Andrews,2019,97
University of St Andrews,2020,100
University of St Andrews,2021,96
University of St Andrews,2022,91
University of St Andrews,2023,96
University of St Andrews,2024,95
Georgia Institute of Technology,2017,71
Georgia Institute of Technology,2018,70
Georgia Institute of Technology,2019,69
Georgia Institute of Technology,2020,72
Georgia Institute of Technology,2021,80
Georgia Institute of Technology,2022,88
Georgia Institute of Technology,2023,88
Georgia Institute of Technology,2024,97
Freie Universitaet Berlin,2017,123
Freie Universitaet Berlin,2018,125
Freie Universitaet Berlin,2019,130
Freie Universitaet Berlin,2020,130
Freie Universitaet Berlin,2021,130
Freie Universitaet Berlin,2022,127
Freie Universitaet Berlin,2023,118
Freie Universitaet Berlin,2024,98
Purdue University,2017,92
Purdue University,2018,105
Purdue University,2019,100
Purdue University,2020,111
Purdue University,2021,109
Purdue University,2022,116
Purdue University,2023,129
Purdue University,2024,99
Pohang University of Science And Technology,2017,83
Pohang University of Science And Technology,2018,71
Pohang University of Science And Technology,2019,83
Pohang University of Science And Technology,2020,87
Pohang University of Science And Technology,2021,77
Pohang University of Science And Technology,2022,81
Pohang University of Science And Technology,2023,71
Pohang University of Science And Technology,2024,100
University of Nottingham,2017,75
University of Nottingham,2018,84
University of Nottingham,2019,82
University of Nottingham,2020,96
University of Nottingham,2021,99
University of Nottingham,2022,103
University of Nottingham,2023,114
University of Nottingham,2024,100
University of Wisconsin-Madison,2017,53
University of Wisconsin-Madison,2018,55
University of Wisconsin-Madison,2019,53
University of Wisconsin-Madison,2020,56
University of Wisconsin-Madison,2021,65
University of Wisconsin-Madison,2022,75
University of Wisconsin-Madison,2023,83
University of Wisconsin-Madison,2024,102
Pontificia Universidad Católica de Chile,2017,147
Pontificia Universidad Católica de Chile,2018,137
Pontificia Universidad Católica de Chile,2019,132
Pontificia Universidad Católica de Chile,2020,127
Pontificia Universidad Católica de Chile,2021,121
Pontificia Universidad Católica de Chile,2022,135
Pontificia Universidad Católica de Chile,2023,121
Pontificia Universidad Católica de Chile,2024,103
University of Sheffield,2017,84
University of Sheffield,2018,82
University of Sheffield,2019,75
University of Sheffield,2020,78
University of Sheffield,2021,93
University of Sheffield,2022,95
University of Sheffield,2023,96
University of Sheffield,2024,104
Uppsala University,2017,98
Uppsala University,2018,112
Uppsala University,2019,117
Uppsala University,2020,116
Uppsala University,2021,124
Uppsala University,2022,124
Uppsala University,2023,128
Uppsala University,2024,105
RWTH Aachen University,2017,146
RWTH Aachen University,2018,141
RWTH Aachen University,2019,144
RWTH Aachen University,2020,138
RWTH Aachen University,2021,145
RWTH Aachen University,2022,165
RWTH Aachen University,2023,147
RWTH Aachen University,2024,106
University of Copenhagen,2017,68
University of Copenhagen,2018,73
University of Copenhagen,2019,79
University of Copenhagen,2020,81
University of Copenhagen,2021,76
University of Copenhagen,2022,79
University of Copenhagen,2023,82
University of Copenhagen,2024,107
Utrecht University,2017,104
Utrecht University,2018,109
Utrecht University,2019,124
Utrecht University,2020,120
Utrecht University,2021,121
Utrecht University,2022,110
Utrecht University,2023,112
Utrecht University,2024,107
Aalto University,2017,133
Aalto University,2018,137
Aalto University,2019,140
Aalto University,2020,134
Aalto University,2021,127
Aalto University,2022,112
Aalto University,2023,116
Aalto University,2024,109
Newcastle University,2017,168
Newcastle University,2018,161
Newcastle University,2019,141
Newcastle University,2020,146
Newcastle University,2021,152
Newcastle University,2022,134
Newcastle University,2023,122
Newcastle University,2024,110
University of Alberta,2017,94
University of Alberta,2018,90
University of Alberta,2019,109
University of Alberta,2020,113
University of Alberta,2021,119
University of Alberta,2022,126
University of Alberta,2023,110
University of Alberta,2024,111
University of Waterloo,2017,152
University of Waterloo,2018,152
University of Waterloo,2019,163
University of Waterloo,2020,173
University of Waterloo,2021,166
University of Waterloo,2022,149
University of Waterloo,2023,154
University of Waterloo,2024,112
Tohoku University,2017,75
Tohoku University,2018,76
Tohoku University,2019,77
Tohoku University,2020,82
Tohoku University,2021,79
Tohoku University,2022,82
Tohoku University,2023,79
Tohoku University,2024,113
Western University,2017,198
Western University,2018,210
Western University,2019,214
Western University,2020,211
Western University,2021,203
Western University,2022,170
Western University,2023,172
Western University,2024,114
University of Helsinki,2017,91
University of Helsinki,2018,102
University of Helsinki,2019,110
University of Helsinki,2020,107
University of Helsinki,2021,104
University of Helsinki,2022,104
University of Helsinki,2023,106
University of Helsinki,2024,115
University of Southern California,2017,136
University of Southern California,2018,132
University of Southern California,2019,115
University of Southern California,2020,129
University of Southern California,2021,121
University of Southern California,2022,112
University of Southern California,2023,134
University of Southern California,2024,116
University of Oslo,2017,113
University of Oslo,2018,142
University of Oslo,2019,135
University of Oslo,2020,119
University of Oslo,2021,113
University of Oslo,2022,102
University of Oslo,2023,101
University of Oslo,2024,117
Stockholm University,2017,196
Stockholm University,2018,195
Stockholm University,2019,200
Stockholm University,2020,191
Stockholm University,2021,181
Stockholm University,2022,148
Stockholm University,2023,153
Stockholm University,2024,118
"KIT, Karlsruhe Institute of Technology",2017,98
"KIT, Karlsruhe Institute of Technology",2018,107
"KIT, Karlsruhe Institute of Technology",2019,116
"KIT, Karlsruhe Institute of Technology",2020,124
"KIT, Karlsruhe Institute of Technology",2021,131
"KIT, Karlsruhe Institute of Technology",2022,136
"KIT, Karlsruhe Institute of Technology",2023,141
"KIT, Karlsruhe Institute of Technology",2024,119
Humboldt-Universität zu Berlin,2017,121
Humboldt-Universität zu Berlin,2018,120
Humboldt-Universität zu Berlin,2019,121
Humboldt-Universität zu Berlin,2020,120
Humboldt-Universität zu Berlin,2021,117
Humboldt-Universität zu Berlin,2022,128
Humboldt-Universität zu Berlin,2023,131
Humboldt-Universität zu Berlin,2024,120
Technical University of Denmark,2017,109
Technical University of Denmark,2018,116
Technical University of Denmark,2019,112
Technical University of Denmark,2020,112
Technical University of Denmark,2021,103
Technical University of Denmark,2022,99
Technical University of Denmark,2023,104
Technical University of Denmark,2024,121
Lancaster University,2017,129
Lancaster University,2018,135
Lancaster University,2019,131
Lancaster University,2020,128
Lancaster University,2021,135
Lancaster University,2022,132
Lancaster University,2023,146
Lancaster University,2024,122
Politecnico di Milano,2017,183
Politecnico di Milano,2018,170
Politecnico di Milano,2019,156
Politecnico di Milano,2020,149
Politecnico di Milano,2021,137
Politecnico di Milano,2022,142
Politecnico di Milano,2023,139
Politecnico di Milano,2024,123
Eindhoven University of Technology,2017,121
Eindhoven University of Technology,2018,104
Eindhoven University of Technology,2019,99
Eindhoven University of Technology,2020,102
Eindhoven University of Technology,2021,120
Eindhoven University of Technology,2022,125
Eindhoven University of Technology,2023,138
Eindhoven University of Technology,2024,124
